ID_taxis,yellow,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_year,pickup_month,pickup_day,pickup_hour
166,0,1.0,42.36,5,3,2019,8,9,17
167,0,1.0,13.56,1,1,2019,8,9,19
168,0,1.0,19.3,1,5,2019,8,10,10
169,0,2.0,8.8,3,3,2019,8,10,10
170,0,2.0,38.05,3,5,2019,8,10,11
171,0,1.0,24.55,5,3,2019,8,10,12
172,0,2.0,16.3,5,5,2019,8,10,15
173,0,1.0,17.3,2,2,2019,8,10,15
174,0,2.0,4.3,5,5,2019,8,10,17
175,0,2.0,8.3,3,3,2019,8,10,17
176,0,2.0,11.3,1,1,2019,8,10,18
177,0,1.0,22.8,3,3,2019,8,10,18
178,0,2.0,26.3,1,1,2019,8,10,18
179,0,1.0,23.55,5,3,2019,8,10,19
180,0,2.0,10.3,1,1,2019,8,10,19
181,0,2.0,32.3,3,2,2019,8,10,20
182,0,5.0,32.5,2,2,2019,8,4,11
183,0,5.0,49.29,5,3,2019,8,5,8
184,0,5.0,24.69,5,5,2019,8,8,7
185,0,5.0,24.42,5,5,2019,8,8,16
186,0,5.0,36.0,1,1,2019,8,9,10
187,0,5.0,19.35,5,5,2019,8,10,15
188,0,2.0,13.3,5,5,2019,12,19,17
189,0,2.0,13.3,3,3,2019,12,19,17
190,0,1.0,23.0,1,1,2019,12,19,17
191,0,2.0,6.8,5,5,2019,12,19,17
192,0,2.0,16.05,3,3,2019,12,19,18
193,0,1.0,68.37,3,1,2019,12,19,19
194,0,2.0,22.8,1,1,2019,12,19,19
195,0,1.0,8.16,3,3,2019,12,19,20
196,0,2.0,6.8,3,3,2019,12,20,6
197,0,1.0,23.05,3,3,2019,12,20,8
198,0,2.0,15.3,3,3,2019,12,20,10
199,0,2.0,23.05,3,3,2019,12,20,10
200,0,1.0,14.16,1,1,2019,12,20,12
201,0,1.0,20.46,3,3,2019,12,20,13
202,0,2.0,5.8,3,3,2019,12,20,13
203,0,2.0,6.8,5,5,2019,12,20,14
204,0,1.0,9.96,3,3,2019,12,20,15
205,0,1.0,18.36,1,1,2019,12,20,16
206,0,2.0,7.8,3,3,2019,12,20,17
207,0,2.0,10.3,1,1,2019,12,20,17
208,0,1.0,15.38,5,5,2019,12,20,17
209,0,1.0,11.62,1,1,2019,12,20,18
210,0,2.0,7.8,3,3,2019,12,20,18
211,0,1.0,12.36,5,5,2019,12,20,19
212,0,1.0,27.8,5,5,2019,12,21,15
213,0,1.0,13.3,5,5,2019,12,21,16
214,0,2.0,9.3,1,1,2019,12,21,16
215,0,1.0,14.46,3,3,2019,12,21,20
216,0,2.0,45.42,3,1,2019,12,22,15
217,0,1.0,21.62,1,5,2019,12,22,15
218,0,2.0,6.8,3,3,2019,12,22,16
219,0,1.0,13.5,1,1,2019,12,22,16
220,0,2.0,19.3,1,1,2019,12,22,17
221,0,2.0,9.8,3,3,2019,12,22,17
222,0,2.0,5.8,5,5,2019,12,22,17
223,0,2.0,7.8,5,5,2019,12,22,19
224,0,1.0,12.66,3,3,2019,12,23,10
225,0,1.0,133.56,3,0,2019,12,23,14
226,0,1.0,22.56,3,3,2019,12,23,14
227,0,1.0,14.55,3,3,2019,12,23,15
228,0,2.0,23.05,1,3,2019,12,23,16
229,0,1.0,19.3,5,5,2019,12,23,18
230,0,1.0,15.96,1,1,2019,12,23,18
231,0,1.0,17.76,3,3,2019,12,23,19
232,0,1.0,7.8,1,1,2019,12,23,20
233,0,2.0,24.8,1,1,2019,12,23,20
234,0,2.0,13.3,2,2,2019,12,24,9
235,0,2.0,9.8,1,1,2019,12,24,10
236,0,2.0,6.3,1,1,2019,12,24,12
237,0,1.0,27.06,5,3,2019,12,24,13
238,0,2.0,18.3,5,5,2019,12,24,13
239,0,2.0,7.3,1,1,2019,12,24,14
240,0,1.0,52.8,1,6,2019,12,24,14
241,0,1.0,21.0,3,3,2019,12,24,15
242,0,2.0,24.05,3,3,2019,12,24,16
243,0,2.0,7.8,1,1,2019,12,24,16
244,0,1.0,18.36,5,5,2019,12,24,16
245,0,1.0,9.96,1,1,2019,12,24,17
246,0,2.0,8.3,2,2,2019,12,24,17
247,0,1.0,9.49,1,1,2019,12,24,20
248,0,1.0,8.3,3,3,2019,12,25,6
249,0,1.0,10.55,3,3,2019,12,25,6
250,0,2.0,11.3,3,3,2019,12,25,11
251,0,1.0,16.86,3,3,2019,12,25,11
252,0,2.0,7.3,1,1,2019,12,25,12
253,0,2.0,13.3,3,2,2019,12,25,17
254,0,1.0,13.3,3,2,2019,12,25,19
255,0,1.0,8.4,3,3,2019,12,26,6
256,0,2.0,18.05,5,3,2019,12,26,7
257,0,2.0,12.3,1,1,2019,12,26,8
258,0,2.0,5.3,1,1,2019,12,26,9
259,0,1.0,48.8,3,3,2019,12,26,9
260,0,1.0,38.19,5,3,2019,12,26,11
261,0,1.0,14.12,1,1,2019,12,26,14
262,0,1.0,31.26,3,3,2019,12,26,18
263,0,1.0,24.55,3,3,2019,12,26,19
264,0,2.0,10.3,1,1,2019,12,26,20
265,0,5.0,79.05,2,5,2019,12,19,6
266,0,5.0,36.0,3,2,2019,12,19,15
267,0,5.0,16.39,5,5,2019,12,19,16
268,0,5.0,26.36,5,5,2019,12,20,7
269,0,5.0,33.68,5,5,2019,12,20,8
270,0,5.0,57.67,3,1,2019,12,20,11
271,0,5.0,26.36,5,5,2019,12,20,11
272,0,5.0,21.64,2,2,2019,12,20,12
273,0,5.0,22.87,5,5,2019,12,20,14
274,0,5.0,25.5,5,5,2019,12,20,16
275,0,5.0,32.82,5,1,2019,12,20,18
276,0,5.0,46.5,1,1,2019,12,21,12
277,0,5.0,19.35,5,5,2019,12,21,18
278,0,5.0,74.11,5,2,2019,12,23,14
279,0,5.0,20.65,2,2,2019,12,24,8
280,0,5.0,29.0,2,2,2019,12,24,14
281,0,5.0,23.11,5,5,2019,12,26,8
282,0,5.0,18.48,5,5,2019,12,26,11
283,0,2.0,20.0,5,6,2020,3,4,13
284,0,1.0,12.7,5,5,2020,3,4,16
285,0,1.0,11.16,3,3,2020,3,4,18
286,0,1.0,8.57,3,3,2020,3,4,18
287,0,1.0,8.16,3,3,2020,3,4,19
288,0,1.0,7.54,1,1,2020,3,4,20
289,0,2.0,12.3,2,3,2020,3,5,6
290,0,2.0,7.8,3,3,2020,3,5,8
291,0,2.0,30.3,1,1,2020,3,5,8
292,0,1.0,33.36,5,3,2020,3,5,10
293,0,1.0,10.86,3,3,2020,3,5,10
294,0,2.0,11.8,1,1,2020,3,5,11
295,0,1.0,13.0,3,3,2020,3,5,13
296,0,2.0,8.8,3,3,2020,3,5,14
297,0,1.0,10.8,5,5,2020,3,5,16
298,0,2.0,15.3,1,1,2020,3,5,16
299,0,1.0,16.05,3,3,2020,3,5,16
300,0,2.0,12.3,1,1,2020,3,5,16
301,0,1.0,18.0,3,2,2020,3,5,17
302,0,1.0,13.25,3,3,2020,3,5,15
303,0,1.0,6.96,5,5,2020,3,5,19
304,0,1.0,8.16,1,1,2020,3,5,20
305,0,2.0,15.3,3,2,2020,3,5,19
306,0,2.0,10.8,5,5,2020,3,5,20
307,0,2.0,4.8,1,1,2020,3,6,7
308,0,2.0,14.8,1,1,2020,3,6,8
309,0,2.0,5.3,5,5,2020,3,6,9
310,0,2.0,8.5,3,3,2020,3,6,10
311,0,2.0,12.3,2,2,2020,3,6,10
312,0,2.0,16.8,1,1,2020,3,6,17
313,0,1.0,18.0,3,2,2020,3,6,18
314,0,1.0,20.05,2,3,2020,3,6,19
315,0,1.0,22.56,5,5,2020,3,7,8
316,0,1.0,18.35,5,3,2020,3,7,14
317,0,1.0,69.66,5,3,2020,3,7,16
318,0,2.0,8.3,1,1,2020,3,7,17
319,0,2.0,11.8,1,1,2020,3,7,17
320,0,1.0,37.26,3,3,2020,3,7,18
321,0,2.0,4.8,3,3,2020,3,7,18
322,0,1.0,25.3,3,3,2020,3,7,18
323,0,1.0,20.76,5,5,2020,3,7,18
324,0,1.0,9.3,5,5,2020,3,7,20
325,0,1.0,15.06,3,3,2020,3,8,14
326,0,1.0,18.3,5,5,2020,3,8,16
327,0,1.0,18.66,3,3,2020,3,8,18
328,0,1.0,14.55,3,3,2020,3,8,18
329,0,1.0,7.3,5,5,2020,3,8,20
330,0,2.0,7.3,5,5,2020,3,9,9
331,0,2.0,7.8,3,3,2020,3,9,9
332,0,1.0,30.66,3,3,2020,3,9,10
333,0,1.0,24.66,3,3,2020,3,9,12
334,0,1.0,20.87,5,3,2020,3,9,12
335,0,1.0,6.89,3,3,2020,3,9,15
336,0,2.0,5.8,5,5,2020,3,9,15
337,0,1.0,31.26,3,3,2020,3,9,17
338,0,1.0,10.0,3,3,2020,3,9,17
339,0,1.0,7.9,1,1,2020,3,9,18
340,0,1.0,8.97,1,1,2020,3,9,19
341,0,2.0,10.8,1,1,2020,3,9,19
342,0,1.0,8.76,1,1,2020,3,9,20
343,0,2.0,26.42,3,1,2020,3,10,6
344,0,1.0,15.96,3,3,2020,3,10,7
345,0,1.0,7.3,2,2,2020,3,10,8
346,0,2.0,8.3,3,3,2020,3,10,8
347,0,1.0,36.3,3,5,2020,3,10,10
348,0,2.0,9.8,3,3,2020,3,10,10
349,0,2.0,9.8,3,3,2020,3,10,14
350,0,1.0,10.56,1,1,2020,3,10,15
351,0,2.0,13.55,3,3,2020,3,10,15
352,0,1.0,15.66,3,3,2020,3,10,16
353,0,1.0,9.8,3,3,2020,3,10,15
354,0,1.0,11.76,3,3,2020,3,10,16
355,0,1.0,8.16,3,3,2020,3,10,19
356,0,5.0,34.95,5,3,2020,3,4,7
357,0,5.0,13.8,5,5,2020,3,4,9
358,0,5.0,17.82,1,1,2020,3,4,9
359,0,5.0,22.4,2,2,2020,3,4,11
360,0,5.0,16.47,5,5,2020,3,4,11
361,0,5.0,8.3,2,2,2020,3,4,12
362,0,5.0,21.5,5,5,2020,3,4,14
363,0,5.0,16.68,3,2,2020,3,5,8
364,0,5.0,20.69,5,5,2020,3,6,9
365,0,5.0,10.8,5,5,2020,3,6,11
366,0,5.0,22.45,5,5,2020,3,6,14
367,0,5.0,12.3,5,5,2020,3,6,14
