ID_taxis,Taxis,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_hour,date
182,Green,5.0,32.5,2,2,11,4/8/2019
183,Green,5.0,49.29,5,3,8,5/8/2019
184,Green,5.0,24.69,5,5,7,8/8/2019
185,Green,5.0,24.42,5,5,16,8/8/2019
186,Green,5.0,36.0,1,1,10,9/8/2019
187,Green,5.0,19.35,5,5,15,10/8/2019
188,Green,2.0,13.3,5,5,17,19/12/2019
189,Green,2.0,13.3,3,3,17,19/12/2019
190,Green,1.0,23.0,1,1,17,19/12/2019
191,Green,2.0,6.8,5,5,17,19/12/2019
192,Green,2.0,16.05,3,3,18,19/12/2019
193,Green,1.0,68.37,3,1,19,19/12/2019
194,Green,2.0,22.8,1,1,19,19/12/2019
195,Green,1.0,8.16,3,3,20,19/12/2019
196,Green,2.0,6.8,3,3,6,20/12/2019
197,Green,1.0,23.05,3,3,8,20/12/2019
198,Green,2.0,15.3,3,3,10,20/12/2019
199,Green,2.0,23.05,3,3,10,20/12/2019
200,Green,1.0,14.16,1,1,12,20/12/2019
201,Green,1.0,20.46,3,3,13,20/12/2019
202,Green,2.0,5.8,3,3,13,20/12/2019
203,Green,2.0,6.8,5,5,14,20/12/2019
204,Green,1.0,9.96,3,3,15,20/12/2019
205,Green,1.0,18.36,1,1,16,20/12/2019
206,Green,2.0,7.8,3,3,17,20/12/2019
207,Green,2.0,10.3,1,1,17,20/12/2019
208,Green,1.0,15.38,5,5,17,20/12/2019
209,Green,1.0,11.62,1,1,18,20/12/2019
210,Green,2.0,7.8,3,3,18,20/12/2019
211,Green,1.0,12.36,5,5,19,20/12/2019
212,Green,1.0,27.8,5,5,15,21/12/2019
213,Green,1.0,13.3,5,5,16,21/12/2019
214,Green,2.0,9.3,1,1,16,21/12/2019
215,Green,1.0,14.46,3,3,20,21/12/2019
216,Green,2.0,45.42,3,1,15,22/12/2019
217,Green,1.0,21.62,1,5,15,22/12/2019
218,Green,2.0,6.8,3,3,16,22/12/2019
219,Green,1.0,13.5,1,1,16,22/12/2019
220,Green,2.0,19.3,1,1,17,22/12/2019
221,Green,2.0,9.8,3,3,17,22/12/2019
222,Green,2.0,5.8,5,5,17,22/12/2019
223,Green,2.0,7.8,5,5,19,22/12/2019
224,Green,1.0,12.66,3,3,10,23/12/2019
225,Green,1.0,133.56,3,0,14,23/12/2019
226,Green,1.0,22.56,3,3,14,23/12/2019
227,Green,1.0,14.55,3,3,15,23/12/2019
228,Green,2.0,23.05,1,3,16,23/12/2019
229,Green,1.0,19.3,5,5,18,23/12/2019
230,Green,1.0,15.96,1,1,18,23/12/2019
231,Green,1.0,17.76,3,3,19,23/12/2019
232,Green,1.0,7.8,1,1,20,23/12/2019
233,Green,2.0,24.8,1,1,20,23/12/2019
234,Green,2.0,13.3,2,2,9,24/12/2019
235,Green,2.0,9.8,1,1,10,24/12/2019
236,Green,2.0,6.3,1,1,12,24/12/2019
237,Green,1.0,27.06,5,3,13,24/12/2019
238,Green,2.0,18.3,5,5,13,24/12/2019
239,Green,2.0,7.3,1,1,14,24/12/2019
240,Green,1.0,52.8,1,6,14,24/12/2019
241,Green,1.0,21.0,3,3,15,24/12/2019
242,Green,2.0,24.05,3,3,16,24/12/2019
243,Green,2.0,7.8,1,1,16,24/12/2019
244,Green,1.0,18.36,5,5,16,24/12/2019
245,Green,1.0,9.96,1,1,17,24/12/2019
246,Green,2.0,8.3,2,2,17,24/12/2019
247,Green,1.0,9.49,1,1,20,24/12/2019
248,Green,1.0,8.3,3,3,6,25/12/2019
249,Green,1.0,10.55,3,3,6,25/12/2019
250,Green,2.0,11.3,3,3,11,25/12/2019
251,Green,1.0,16.86,3,3,11,25/12/2019
252,Green,2.0,7.3,1,1,12,25/12/2019
253,Green,2.0,13.3,3,2,17,25/12/2019
254,Green,1.0,13.3,3,2,19,25/12/2019
255,Green,1.0,8.4,3,3,6,26/12/2019
256,Green,2.0,18.05,5,3,7,26/12/2019
257,Green,2.0,12.3,1,1,8,26/12/2019
258,Green,2.0,5.3,1,1,9,26/12/2019
259,Green,1.0,48.8,3,3,9,26/12/2019
260,Green,1.0,38.19,5,3,11,26/12/2019
261,Green,1.0,14.12,1,1,14,26/12/2019
262,Green,1.0,31.26,3,3,18,26/12/2019
263,Green,1.0,24.55,3,3,19,26/12/2019
264,Green,2.0,10.3,1,1,20,26/12/2019
265,Green,5.0,79.05,2,5,6,19/12/2019
266,Green,5.0,36.0,3,2,15,19/12/2019
267,Green,5.0,16.39,5,5,16,19/12/2019
268,Green,5.0,26.36,5,5,7,20/12/2019
269,Green,5.0,33.68,5,5,8,20/12/2019
270,Green,5.0,57.67,3,1,11,20/12/2019
271,Green,5.0,26.36,5,5,11,20/12/2019
272,Green,5.0,21.64,2,2,12,20/12/2019
273,Green,5.0,22.87,5,5,14,20/12/2019
274,Green,5.0,25.5,5,5,16,20/12/2019
275,Green,5.0,32.82,5,1,18,20/12/2019
276,Green,5.0,46.5,1,1,12,21/12/2019
277,Green,5.0,19.35,5,5,18,21/12/2019
278,Green,5.0,74.11,5,2,14,23/12/2019
279,Green,5.0,20.65,2,2,8,24/12/2019
280,Green,5.0,29.0,2,2,14,24/12/2019
281,Green,5.0,23.11,5,5,8,26/12/2019
282,Green,5.0,18.48,5,5,11,26/12/2019
283,Green,2.0,20.0,5,6,13,4/3/2020
284,Green,1.0,12.7,5,5,16,4/3/2020
285,Green,1.0,11.16,3,3,18,4/3/2020
286,Green,1.0,8.57,3,3,18,4/3/2020
287,Green,1.0,8.16,3,3,19,4/3/2020
288,Green,1.0,7.54,1,1,20,4/3/2020
289,Green,2.0,12.3,2,3,6,5/3/2020
290,Green,2.0,7.8,3,3,8,5/3/2020
291,Green,2.0,30.3,1,1,8,5/3/2020
292,Green,1.0,33.36,5,3,10,5/3/2020
293,Green,1.0,10.86,3,3,10,5/3/2020
294,Green,2.0,11.8,1,1,11,5/3/2020
295,Green,1.0,13.0,3,3,13,5/3/2020
296,Green,2.0,8.8,3,3,14,5/3/2020
297,Green,1.0,10.8,5,5,16,5/3/2020
298,Green,2.0,15.3,1,1,16,5/3/2020
299,Green,1.0,16.05,3,3,16,5/3/2020
300,Green,2.0,12.3,1,1,16,5/3/2020
301,Green,1.0,18.0,3,2,17,5/3/2020
302,Green,1.0,13.25,3,3,15,5/3/2020
303,Green,1.0,6.96,5,5,19,5/3/2020
304,Green,1.0,8.16,1,1,20,5/3/2020
305,Green,2.0,15.3,3,2,19,5/3/2020
306,Green,2.0,10.8,5,5,20,5/3/2020
307,Green,2.0,4.8,1,1,7,6/3/2020
308,Green,2.0,14.8,1,1,8,6/3/2020
309,Green,2.0,5.3,5,5,9,6/3/2020
310,Green,2.0,8.5,3,3,10,6/3/2020
311,Green,2.0,12.3,2,2,10,6/3/2020
312,Green,2.0,16.8,1,1,17,6/3/2020
313,Green,1.0,18.0,3,2,18,6/3/2020
